Date/Time,Temp_C,Rel Hum_%,Press_kPa,Temp_Change,Humidity_Change,Pressure_Change,Temp_Rolling_Mean,Humidity_Rolling_Mean,Pressure_Rolling_Mean,Temp_Rolling_Std,Humidity_Rolling_Std,Pressure_Rolling_Std,Anomaly_Score,ML_Anomaly
2012-01-01 09:00:00,-1.3,88,101.2,0.0999999999999998,3.0,-0.0300000000000011,-1.54,87.2,101.249,0.1897366596101029,1.475729574745244,0.0260128173535012,0.11948187687383255,0
2012-01-01 10:00:00,-1.0,91,101.15,0.3,3.0,-0.0499999999999971,-1.46,87.7,101.24,0.2319003617456813,1.8287822299126923,0.0408248290463834,0.12602038750657124,0
2012-01-01 11:00:00,-0.5,89,100.98,0.5,-2.0,-0.1700000000000017,-1.33,87.9,101.214,0.3529242915351049,1.8529256146249704,0.0917968772163086,0.09833899984667888,0
2012-01-01 12:00:00,-0.2,88,100.79,0.3,-1.0,-0.1899999999999977,-1.17,87.8,101.167,0.4620004810002309,1.813529401164724,0.160350310951433,0.0968735379988902,0
2012-01-01 13:00:00,0.2,87,100.58,0.4,-1.0,-0.2100000000000079,-1.0,87.7,101.098,0.6146362971528595,1.8287822299126923,0.2398518060988657,0.08562784074385132,0
2012-01-01 14:00:00,0.8,87,100.31,0.6000000000000001,0.0,-0.269999999999996,-0.7699999999999999,87.6,101.006,0.8069834088890694,1.8378731669453616,0.3393850648190346,0.0673390490352963,0
2012-01-01 15:00:00,1.8,85,100.07,1.0,-2.0,-0.2400000000000091,-0.45,87.4,100.886,1.1078006238589249,2.0110804171997803,0.4344907619526837,0.03582485137525104,0
2012-01-01 16:00:00,2.6,82,99.93,0.8,-3.0,-0.1399999999999863,-0.0399999999999999,86.7,100.75,1.3969808715782608,2.540778533354602,0.5016417491043239,0.055618429672924186,0
2012-01-01 17:00:00,3.0,81,99.81,0.3999999999999999,-1.0,-0.1200000000000045,0.4,86.3,100.605,1.5993054047860211,3.0930028559098792,0.545491623318919,0.060132821859656016,0
2012-01-01 18:00:00,3.8,82,99.74,0.7999999999999998,1.0,-0.0700000000000073,0.92,86.0,100.456,1.783753844502593,3.366501646120693,0.5591302770076596,0.05861009055642086,0
2012-01-01 19:00:00,3.1,88,99.68,-0.6999999999999997,6.0,-0.059999999999988,1.36,86.0,100.304,1.7167152096696512,3.366501646120693,0.54070324578274,0.05127597780311255,0
2012-01-01 20:00:00,3.2,87,99.5,0.1,-1.0,-0.1800000000000068,1.78,85.6,100.139,1.5838069467092408,2.913569784454955,0.5043907215641292,0.034068417733679524,0
