Date/Time,Temp_C,Rel Hum_%,Press_kPa,Hour,Day,Month,DayOfWeek,IsWeekend,Temp_Change,Humidity_Change,Pressure_Change,Temp_Rolling_Mean,Humidity_Rolling_Mean,Pressure_Rolling_Mean,Temp_Rolling_Std,Humidity_Rolling_Std,Pressure_Rolling_Std
2012-01-01 09:00:00,-1.3,88,101.2,9,1,1,6,1,0.09999999999999987,3.0,-0.030000000000001137,-1.54,87.2,101.249,0.18973665961010294,1.4757295747452441,0.02601281735350128
2012-01-01 10:00:00,-1.0,91,101.15,10,1,1,6,1,0.30000000000000004,3.0,-0.04999999999999716,-1.46,87.7,101.24,0.23190036174568135,1.8287822299126923,0.040824829046383466
2012-01-01 11:00:00,-0.5,89,100.98,11,1,1,6,1,0.5,-2.0,-0.1700000000000017,-1.33,87.9,101.214,0.3529242915351049,1.8529256146249706,0.09179687721630864
2012-01-01 12:00:00,-0.2,88,100.79,12,1,1,6,1,0.3,-1.0,-0.18999999999999773,-1.17,87.8,101.167,0.46200048100023094,1.813529401164724,0.160350310951433
2012-01-01 13:00:00,0.2,87,100.58,13,1,1,6,1,0.4,-1.0,-0.21000000000000796,-1.0,87.7,101.098,0.6146362971528595,1.8287822299126923,0.23985180609886578
2012-01-01 14:00:00,0.8,87,100.31,14,1,1,6,1,0.6000000000000001,0.0,-0.269999999999996,-0.7699999999999999,87.6,101.006,0.8069834088890694,1.8378731669453618,0.3393850648190346
2012-01-01 15:00:00,1.8,85,100.07,15,1,1,6,1,1.0,-2.0,-0.2400000000000091,-0.45,87.4,100.886,1.1078006238589249,2.0110804171997803,0.43449076195268377
2012-01-01 16:00:00,2.6,82,99.93,16,1,1,6,1,0.8,-3.0,-0.13999999999998636,-0.039999999999999994,86.7,100.75000000000001,1.3969808715782608,2.540778533354602,0.5016417491043239
2012-01-01 17:00:00,3.0,81,99.81,17,1,1,6,1,0.3999999999999999,-1.0,-0.12000000000000455,0.4,86.3,100.60499999999999,1.5993054047860213,3.0930028559098792,0.545491623318919
2012-01-01 18:00:00,3.8,82,99.74,18,1,1,6,1,0.7999999999999998,1.0,-0.07000000000000739,0.9199999999999999,86.0,100.456,1.783753844502593,3.366501646120693,0.5591302770076596
2012-01-01 19:00:00,3.1,88,99.68,19,1,1,6,1,-0.6999999999999997,6.0,-0.05999999999998806,1.3599999999999999,86.0,100.304,1.7167152096696512,3.366501646120693,0.54070324578274
2012-01-01 20:00:00,3.2,87,99.5,20,1,1,6,1,0.10000000000000009,-1.0,-0.18000000000000682,1.78,85.6,100.13900000000001,1.5838069467092408,2.913569784454955,0.5043907215641292
2012-01-01 21:00:00,4.0,85,99.39,21,1,1,6,1,0.7999999999999998,-2.0,-0.10999999999999943,2.23,85.2,99.98,1.501147709069447,2.658320271650251,0.45833030302025984
2012-01-01 22:00:00,4.4,84,99.32,22,1,1,6,1,0.40000000000000036,-1.0,-0.07000000000000739,2.69,84.8,99.833,1.3731148693552369,2.4855135843076304,0.401941123383312
2012-01-01 23:00:00,5.3,79,99.31,23,1,1,6,1,0.8999999999999995,-5.0,-0.009999999999990905,3.2,84.0,99.706,1.2901334986909105,2.9439202887759426,0.3347038491960245
2012-01-02 00:00:00,5.2,77,99.26,0,2,1,0,0,-0.09999999999999964,-2.0,-0.04999999999999716,3.6399999999999997,83.0,99.601,1.11972218776703,3.4641016151377455,0.28520752678233746
2012-01-02 01:00:00,4.6,72,99.26,1,2,1,0,0,-0.6000000000000005,-5.0,0.0,3.9200000000000004,81.7,99.52000000000001,0.9449279807947776,4.808557187163538,0.25006665778007087
2012-01-02 02:00:00,3.9,71,99.26,2,2,1,0,0,-0.6999999999999997,-1.0,0.0,4.05,80.6,99.453,0.8249579113843097,5.8727241454787205,0.21535758377370315
2012-01-02 03:00:00,3.7,69,99.3,3,2,1,0,0,-0.19999999999999973,-2.0,0.03999999999999204,4.12,79.4,99.402,0.7524773898412027,6.915361322607956,0.17868656605589142
2012-01-02 04:00:00,2.9,69,99.26,4,2,1,0,0,-0.8000000000000003,0.0,-0.03999999999999204,4.03,78.1,99.354,0.8433399209228916,7.5638026885364305,0.13753383422093637
